ID,Effect
AA,"50% chance to Regenerate runes, ammo and charges"
B1,"Whenever your combat spells Regenerate runes, your Magic level is boosted by 1 for 30 ticks (18s)"
B2,"Whenever you Regenerate ammo, you have a +25% chance to fire a Ranged echo against the enemy"
B3,"Your minimum hit when attacking with a melee weapon is increased by3"
BA,"+5% chance to Regenerate runes, ammo and charges"
C1,"Whenever your combat spells Regenerate air runes, you have a 15% chance to restore 1 prayer point per rune regenerated"
C2,"Whenever your combat spells Regenerate water runes, you're healed for 1 per rune regenerated"
C3,"Whenever your combat spells Regenerate fire runes, the damage of your next spell hit is increased by 1 per rune regenerated"
C4,"Whenever your combat spells Regenerate earth runes, your Defence level is boosted by 1 per rune regenerated for 30 ticks (18s)"
CA,"+15% accuracy in all combat styles"
D1,"While you have a shield equipped you gain the Thorns effect"
D2,"Melee weapons under 1kg always trigger an additional melee hit using 40% of your base max hit (minimum of 1)"
D3,"Each melee attack with a heavy melee weapon (>=1kg) has a 15% chance to trigger an instant Blindbag attack"
D4,"Melee range is doubled whilst using two handed weapons"
DA,"+5 permanent Defence level boost"
E1,"While a bow is equipped, Ranged echoes never miss"
E2,"While a crossbow is equipped, you have a +15% chance to trigger Ranged echoes"
E3,"While a thrown weapon is equipped, Ranged echoes have a 20% chance to max hit"
F1,"+35% accuracy in all combat styles"
F10,"Whenever you Regenerate charges from a powered staff or wand, also Regenerate 1 fire rune"
F13,"Healing with Demonic Pacts overheals you, up to +30% of your base Hitpoints level"
F3,"+30% chance to Regenerate runes, ammo and charges"
F4,"+15 permanent Defence level boost"
F5,"Whenever you Regenerate charges from a powered staff or wand, also Regenerate 1 water rune"
F6,"Whenever you Regenerate charges from a powered staff or wand, also Regenerate 1 air rune"
F7,"Attack rate with combat spells in a spellbook is sped up by 2 ticks"
F8,"Attack rate with powered staves is sped up by 3 ticks. All one handed powered staves have their max hit reduced by 8"
F9,"Whenever you Regenerate charges from a powered staff or wand, also Regenerate 1 earth rune"
FA,"+1% Magic damage (multiplied by Tumeken's Shadow special effect)"
G1,"While you have a shield equipped, you have a 0.1% chance per Defence level to reflect all damage back to the attacker"
G10,"Attacking with a melee weapon or Thorns has a +10% chance to heal you based off your distance between you and your target (1 tile = 1 health)"
G2,"Special attacks have a 20% chance to not consume any energy"
G4,"Whenever you attack an enemy from at least 2 tiles away with any style, you restore 2% special attack energy"
G6,"Melee weapons that are under 1kg or one handed, increase your melee strength by 20% of your Strength level"
G7,"Melee strength is increased by 50% of your worn prayer bonus"
G8,"Attacks with a melee weapon can consume 5 overhealed hitpoints (if available), increasing your minimum hit on that attack by 5"
G9,"When hitting a target with a two handed melee weapon, you have a 5% chance to trigger a Ranged echo as if you have a bow, crossbow and thrown weapon equipped"
GA,"+1% Melee damage"
H1,"You have a 5% chance per attack in any style to roll max accuracy, increased by 5% for each tile distance between you and your target"
H10,"All attacks have +15% Prayer penetration (up to 100%)"
H4,"While an off-hand item is equipped, gain +5 melee strength, +5 ranged strength and +2% magic damage"
H6,"Whenever you max hit from at least 3 tiles away, your next hit from a different style deals +25% damage"
HA,"+1% Ranged damage"
I1,"Air spells deal +7% damage for each active prayer"
I2,"Water spells deal increased damage the higher health percentage you have (+20% damage at 100% health)"
I3,"Fire spell casts burn up to 6% of your maximum Hitpoints to increase your damage dealt by double the amount burned for"
I4,"Earth spell hits reduce the enemies Defence & Magic Defence levels by 2"
I6,"While protection prayers are not active, you restore 1 Prayer point every 15 ticks (9s), sped up by 1 tick (0.6s) for every 7 worn prayer bonus"
J1,"All recoil & Thorns style effects deal additional damage equal to 1% of your total defence bonuses"
J2,"Melee weapons under 1kg attack 1 tick (0.6s) faster"
J3,"For each unique heavy melee weapon (>=1kg) in your inventory, your chance of a Blindbag trigger is increased by 2% up to a maximum of 10% (5 weapons)"
J4,"Your maximum hit when attacking with a melee weapon is increased by 4% and an additional 4% for every 3 tiles of distance between you and your target"
J8,"Whenever an attack deals 0 damage to you while either a two-handed shield or an off-hand is equipped, you're healed for 2 and restore 2 prayer points"
K1,"Ranged prayers are 30% more effective"
K10,"Whenever you Regenerate ammo, you have a +5% chance to fire a Ranged echo against the enemy"
K2,"Ranged strength is increased by 1 for every 10 hitpoints difference between your current hitpoints and Hitpoints level"
K3,"Ranged echoes can now trigger additional Ranged echoes at half your chance to trigger them (up to 4 times)"
K4,"Bows attack 1 tick (0.6s) faster"
K6,"While a thrown weapon is equipped, ranged strength is also increased by 80% of your melee strength"
K8,"Crossbows attack 2 ticks (1.2s) slower, but deal +70% damage"
L1,"Air spells have a +1% chance to max hit for every 1 prayer bonus, doubled against enemies weak to air spells"
L2,"Water spell hits bounce back to you, healing you for 60% of the damage dealt to your target"
L3,"Fire spell hits apply 1 burn (max 5) and bounce to up to 2 nearby targets"
L4,"Earth spells deal additional flat damage based on your current Defence level (+1 damage per 12 Defence levels)"
L5,"Smoke spells now count as 'air' spells"
L6,"Ice spells now count as 'water' spells"
L7,"Blood spells now count as 'fire' spells"
L8,"Shadow spells now count as 'earth' spells"
M1,"When the Thorns effect triggers, it will always hit twice, dealing 50% of its damage in the second hit"
M2,"Whenever you deal damage with a melee weapon, you restore 2% special attack energy per hit"
M3,"For each unique heavy melee weapon (>=1kg) in your inventory, the max hit of your Blindbag attacks is increased by 2% up to a maximum of 10% (5 weapons)"
M4,"If your melee attack range is at least 4, it is increased to 7. All halberds slower than 5 ticks have their attack rate set to 5 ticks (3.0s)"
N4,"Hitting with a bow increases your bows minimum hit by 1, capping at 15% of your base maximum hit. Halved when you take damage you didn't or couldn't pray against"
N5,"Hitting with a bow increases your bows maximum hit by 1, capping at 15% of your base maximum hit. Halved when you take damage you didn't or couldn't pray against"
N6,"Crossbow hits always max hit"
N7,"Crossbow attacks roll accuracy twice"
N8,"While a thrown weapon is equipped, increase your ranged accuracy by 60"
N9,"When attacking with a thrown weapon, you now throw at an additional nearby target"
